event_id,referral_lead_id,partner_id,event_type,event_at,agent_name,rationale
EV000107,RL00030,P002,matched,2023-02-16,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000108,RL00030,P002,booked,2023-02-25,negotiation,partner accepted; capacity held
EV000109,RL00030,P002,resolved,2023-03-11,monitor,closed successfully
EV000110,RL00031,,classified,2023-03-01,intake,
EV000111,RL00031,P003,matched,2023-03-02,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000112,RL00031,P003,booked,2023-03-09,negotiation,partner accepted; capacity held
EV000113,RL00031,P003,resolved,2023-04-01,monitor,closed successfully
EV000114,RL00032,,classified,2023-03-02,intake,
EV000115,RL00032,P002,matched,2023-03-03,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000116,RL00032,P002,outreach_sent,2023-03-04,negotiation,round 1
EV000117,RL00032,P002,reply_received,2023-03-05,negotiation,propose_alternative
EV000118,RL00032,P002,outreach_sent,2023-03-06,negotiation,round 2
EV000119,RL00032,P002,reply_received,2023-03-07,negotiation,propose_alternative
EV000120,RL00032,P002,outreach_sent,2023-03-08,negotiation,round 3
EV000121,RL00032,P002,reply_received,2023-03-09,negotiation,propose_alternative
EV000122,RL00033,,classified,2023-03-12,intake,
EV000123,RL00033,P003,matched,2023-03-13,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000124,RL00033,P003,lost,2023-03-22,monitor,no fit / declined
EV000125,RL00034,,classified,2023-03-10,intake,
EV000126,RL00034,P003,matched,2023-03-11,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000127,RL00034,P003,booked,2023-03-19,negotiation,partner accepted; capacity held
EV000128,RL00034,P003,resolved,2023-04-05,monitor,closed successfully
EV000129,RL00035,,classified,2023-03-11,intake,
EV000130,RL00035,P001,matched,2023-03-12,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000131,RL00035,P001,lost,2023-03-25,monitor,no fit / declined
EV000132,RL00036,,classified,2023-03-23,intake,
EV000133,RL00036,P001,matched,2023-03-25,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000134,RL00036,P001,booked,2023-03-28,negotiation,partner accepted; capacity held
EV000135,RL00036,P001,resolved,2023-04-18,monitor,closed successfully
EV000136,RL00037,,classified,2023-03-08,intake,
EV000137,RL00038,,classified,2023-03-20,intake,
EV000138,RL00038,P002,matched,2023-03-23,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000139,RL00038,P002,booked,2023-04-02,negotiation,partner accepted; capacity held
EV000140,RL00038,P002,resolved,2023-04-24,monitor,closed successfully
EV000141,RL00039,,classified,2023-03-01,intake,
EV000142,RL00039,P003,matched,2023-03-04,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000143,RL00039,P003,booked,2023-03-10,negotiation,partner accepted; capacity held
EV000144,RL00039,P003,resolved,2023-03-19,monitor,closed successfully
EV000145,RL00040,,classified,2023-03-09,intake,
EV000146,RL00040,P003,matched,2023-03-10,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000147,RL00040,P003,lost,2023-03-24,monitor,no fit / declined
EV000148,RL00041,,classified,2023-03-22,intake,
EV000149,RL00041,P003,matched,2023-03-25,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000150,RL00041,P003,outreach_sent,2023-03-26,negotiation,round 1
EV000151,RL00041,P003,reply_received,2023-03-27,negotiation,propose_alternative
EV000152,RL00041,P003,outreach_sent,2023-03-28,negotiation,round 2
EV000153,RL00041,P003,reply_received,2023-03-29,negotiation,propose_alternative
EV000154,RL00041,P003,outreach_sent,2023-03-30,negotiation,round 3
EV000155,RL00041,P003,reply_received,2023-03-31,negotiation,propose_alternative
EV000156,RL00042,,classified,2023-03-08,intake,
EV000157,RL00042,P002,matched,2023-03-09,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000158,RL00042,P002,booked,2023-03-17,negotiation,partner accepted; capacity held
EV000159,RL00042,P002,resolved,2023-03-29,monitor,closed successfully
EV000160,RL00043,,classified,2023-03-18,intake,
EV000161,RL00043,P003,matched,2023-03-20,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000162,RL00043,P003,lost,2023-03-28,monitor,no fit / declined
EV000163,RL00044,,classified,2023-03-21,intake,
EV000164,RL00044,P003,matched,2023-03-22,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000165,RL00044,P003,booked,2023-03-30,negotiation,partner accepted; capacity held
EV000166,RL00044,P003,resolved,2023-04-09,monitor,closed successfully
EV000167,RL00045,,classified,2023-03-11,intake,
EV000168,RL00045,P003,matched,2023-03-13,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000169,RL00045,P003,lost,2023-03-26,monitor,no fit / declined
EV000170,RL00046,,classified,2023-04-20,intake,
EV000171,RL00046,P003,matched,2023-04-22,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000172,RL00046,P003,booked,2023-04-26,negotiation,partner accepted; capacity held
EV000173,RL00046,P003,resolved,2023-05-09,monitor,closed successfully
EV000174,RL00047,,classified,2023-04-25,intake,
EV000175,RL00047,P002,matched,2023-04-27,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000176,RL00047,P002,lost,2023-05-12,monitor,no fit / declined
EV000177,RL00048,,classified,2023-04-21,intake,
EV000178,RL00048,P001,matched,2023-04-24,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000179,RL00048,P001,booked,2023-05-03,negotiation,partner accepted; capacity held
EV000180,RL00048,P001,resolved,2023-05-10,monitor,closed successfully
EV000181,RL00049,,classified,2023-04-17,intake,
EV000182,RL00049,P001,matched,2023-04-19,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000183,RL00049,P001,booked,2023-04-24,negotiation,partner accepted; capacity held
EV000184,RL00049,P001,resolved,2023-05-10,monitor,closed successfully
EV000185,RL00050,,classified,2023-04-13,intake,
EV000186,RL00051,,classified,2023-04-09,intake,
EV000187,RL00051,P001,matched,2023-04-12,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000188,RL00051,P001,booked,2023-04-17,negotiation,partner accepted; capacity held
EV000189,RL00051,P001,resolved,2023-05-12,monitor,closed successfully
EV000190,RL00052,,classified,2023-04-19,intake,
EV000191,RL00052,P001,matched,2023-04-20,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000192,RL00052,P001,booked,2023-04-23,negotiation,partner accepted; capacity held
EV000193,RL00052,P001,resolved,2023-05-05,monitor,closed successfully
EV000194,RL00053,,classified,2023-04-28,intake,
EV000195,RL00053,P001,matched,2023-04-29,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000196,RL00053,P001,booked,2023-05-05,negotiation,partner accepted; capacity held
EV000197,RL00053,P001,resolved,2023-05-17,monitor,closed successfully
EV000198,RL00054,,classified,2023-04-10,intake,
EV000199,RL00054,P003,matched,2023-04-12,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000200,RL00055,,classified,2023-04-06,intake,
EV000201,RL00055,P002,matched,2023-04-09,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000202,RL00055,P002,booked,2023-04-15,negotiation,partner accepted; capacity held
EV000203,RL00055,P002,resolved,2023-04-27,monitor,closed successfully
EV000204,RL00056,,classified,2023-04-19,intake,
EV000205,RL00056,P002,matched,2023-04-21,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000206,RL00057,,classified,2023-04-04,intake,
EV000207,RL00057,P003,matched,2023-04-07,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000208,RL00057,P003,lost,2023-04-17,monitor,no fit / declined
EV000209,RL00058,,classified,2023-04-20,intake,
EV000210,RL00058,P003,matched,2023-04-22,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000211,RL00058,P003,booked,2023-05-01,negotiation,partner accepted; capacity held
EV000212,RL00058,P003,resolved,2023-05-08,monitor,closed successfully
EV000213,RL00059,,classified,2023-04-24,intake,
EV000214,RL00059,P003,matched,2023-04-26,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000215,RL00059,P003,booked,2023-05-05,negotiation,partner accepted; capacity held
EV000216,RL00059,P003,resolved,2023-05-22,monitor,closed successfully
EV000217,RL00060,,classified,2023-04-06,intake,
EV000218,RL00060,P001,matched,2023-04-09,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000219,RL00060,P001,booked,2023-04-12,negotiation,partner accepted; capacity held
EV000220,RL00060,P001,resolved,2023-04-29,monitor,closed successfully
EV000221,RL00061,,classified,2023-05-24,intake,
EV000222,RL00061,P001,matched,2023-05-27,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000223,RL00061,P001,booked,2023-06-01,negotiation,partner accepted; capacity held
EV000224,RL00061,P001,resolved,2023-06-06,monitor,closed successfully
EV000225,RL00062,,classified,2023-05-19,intake,
EV000226,RL00062,P001,matched,2023-05-20,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000227,RL00062,P001,booked,2023-05-25,negotiation,partner accepted; capacity held
EV000228,RL00062,P001,resolved,2023-06-01,monitor,closed successfully
EV000229,RL00063,,classified,2023-05-19,intake,
EV000230,RL00063,P002,matched,2023-05-21,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000231,RL00064,,classified,2023-05-14,intake,
EV000232,RL00064,P002,matched,2023-05-17,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000233,RL00064,P002,booked,2023-05-27,negotiation,partner accepted; capacity held
EV000234,RL00064,P002,resolved,2023-06-13,monitor,closed successfully
EV000235,RL00065,,classified,2023-05-13,intake,
EV000236,RL00065,P002,matched,2023-05-16,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000237,RL00065,P002,booked,2023-05-19,negotiation,partner accepted; capacity held
EV000238,RL00065,P002,resolved,2023-06-02,monitor,closed successfully
EV000239,RL00066,,classified,2023-05-09,intake,
EV000240,RL00066,P003,matched,2023-05-10,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000241,RL00066,P003,outreach_sent,2023-05-11,negotiation,round 1
EV000242,RL00066,P003,reply_received,2023-05-12,negotiation,propose_alternative
EV000243,RL00066,P003,outreach_sent,2023-05-13,negotiation,round 2
EV000244,RL00066,P003,reply_received,2023-05-14,negotiation,propose_alternative
EV000245,RL00066,P003,outreach_sent,2023-05-15,negotiation,round 3
EV000246,RL00066,P003,reply_received,2023-05-16,negotiation,propose_alternative
EV000247,RL00067,,classified,2023-05-13,intake,
EV000248,RL00067,P001,matched,2023-05-15,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000249,RL00067,P001,lost,2023-05-23,monitor,no fit / declined
EV000250,RL00068,,classified,2023-05-17,intake,
EV000251,RL00068,P003,matched,2023-05-20,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000252,RL00068,P003,lost,2023-06-03,monitor,no fit / declined
EV000253,RL00069,,classified,2023-05-21,intake,
EV000254,RL00069,P001,matched,2023-05-23,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000255,RL00070,,classified,2023-05-06,intake,
EV000256,RL00070,P002,matched,2023-05-07,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000257,RL00071,,classified,2023-05-05,intake,
EV000258,RL00071,P001,matched,2023-05-07,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000259,RL00071,P001,booked,2023-05-10,negotiation,partner accepted; capacity held
EV000260,RL00071,P001,resolved,2023-05-15,monitor,closed successfully
EV000261,RL00072,,classified,2023-05-20,intake,
EV000262,RL00072,P002,matched,2023-05-23,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000263,RL00072,P002,lost,2023-05-30,monitor,no fit / declined
EV000264,RL00073,,classified,2023-05-28,intake,
EV000265,RL00073,P001,matched,2023-05-30,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000266,RL00073,P001,booked,2023-06-06,negotiation,partner accepted; capacity held
EV000267,RL00073,P001,resolved,2023-06-29,monitor,closed successfully
EV000268,RL00074,,classified,2023-05-26,intake,
EV000269,RL00074,P001,matched,2023-05-29,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000270,RL00074,P001,lost,2023-06-04,monitor,no fit / declined
EV000271,RL00075,,classified,2023-05-04,intake,
EV000272,RL00075,P001,matched,2023-05-06,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000273,RL00075,P001,booked,2023-05-13,negotiation,partner accepted; capacity held
EV000274,RL00075,P001,resolved,2023-05-25,monitor,closed successfully
EV000275,RL00076,,classified,2023-06-10,intake,
EV000276,RL00077,,classified,2023-06-23,intake,
EV000277,RL00077,P001,matched,2023-06-24,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000278,RL00077,P001,booked,2023-06-30,negotiation,partner accepted; capacity held
EV000279,RL00077,P001,resolved,2023-07-16,monitor,closed successfully
EV000280,RL00078,,classified,2023-06-26,intake,
EV000281,RL00078,P002,matched,2023-06-28,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000282,RL00078,P002,outreach_sent,2023-06-29,negotiation,round 1
EV000283,RL00078,P002,reply_received,2023-06-30,negotiation,propose_alternative
EV000284,RL00078,P002,outreach_sent,2023-07-01,negotiation,round 2
EV000285,RL00078,P002,reply_received,2023-07-02,negotiation,propose_alternative
EV000286,RL00078,P002,outreach_sent,2023-07-03,negotiation,round 3
EV000287,RL00078,P002,reply_received,2023-07-04,negotiation,propose_alternative
EV000288,RL00079,,classified,2023-06-16,intake,
EV000289,RL00079,P002,matched,2023-06-17,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000290,RL00079,P002,booked,2023-06-24,negotiation,partner accepted; capacity held
EV000291,RL00079,P002,resolved,2023-07-02,monitor,closed successfully
EV000292,RL00080,,classified,2023-06-13,intake,
EV000293,RL00081,,classified,2023-06-02,intake,
EV000294,RL00081,P002,matched,2023-06-05,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000295,RL00081,P002,booked,2023-06-08,negotiation,partner accepted; capacity held
EV000296,RL00081,P002,resolved,2023-06-17,monitor,closed successfully
EV000297,RL00082,,classified,2023-06-03,intake,
EV000298,RL00082,P001,matched,2023-06-06,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000299,RL00082,P001,booked,2023-06-08,negotiation,partner accepted; capacity held
EV000300,RL00082,P001,resolved,2023-06-22,monitor,closed successfully
EV000301,RL00083,,classified,2023-06-19,intake,
EV000302,RL00083,P002,matched,2023-06-20,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000303,RL00083,P002,booked,2023-06-28,negotiation,partner accepted; capacity held
EV000304,RL00083,P002,resolved,2023-07-03,monitor,closed successfully
EV000305,RL00084,,classified,2023-06-24,intake,
EV000306,RL00084,P001,matched,2023-06-27,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000307,RL00084,P001,outreach_sent,2023-06-28,negotiation,round 1
EV000308,RL00084,P001,reply_received,2023-06-29,negotiation,propose_alternative
EV000309,RL00084,P001,outreach_sent,2023-06-30,negotiation,round 2
EV000310,RL00084,P001,reply_received,2023-07-01,negotiation,propose_alternative
EV000311,RL00084,P001,outreach_sent,2023-07-02,negotiation,round 3
EV000312,RL00084,P001,reply_received,2023-07-03,negotiation,propose_alternative
EV000313,RL00085,,classified,2023-06-13,intake,
EV000314,RL00085,P003,matched,2023-06-14,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000315,RL00085,P003,outreach_sent,2023-06-15,negotiation,round 1
EV000316,RL00085,P003,reply_received,2023-06-16,negotiation,propose_alternative
EV000317,RL00085,P003,outreach_sent,2023-06-17,negotiation,round 2
EV000318,RL00085,P003,reply_received,2023-06-18,negotiation,propose_alternative
EV000319,RL00085,P003,outreach_sent,2023-06-19,negotiation,round 3
EV000320,RL00085,P003,reply_received,2023-06-20,negotiation,propose_alternative
EV000321,RL00086,,classified,2023-06-27,intake,
EV000322,RL00086,P003,matched,2023-06-28,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000323,RL00087,,classified,2023-06-17,intake,
EV000324,RL00087,P001,matched,2023-06-19,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000325,RL00087,P001,booked,2023-06-25,negotiation,partner accepted; capacity held
EV000326,RL00087,P001,resolved,2023-07-09,monitor,closed successfully
EV000327,RL00088,,classified,2023-06-07,intake,
EV000328,RL00088,P001,matched,2023-06-10,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000329,RL00088,P001,booked,2023-06-12,negotiation,partner accepted; capacity held
EV000330,RL00088,P001,resolved,2023-06-17,monitor,closed successfully
EV000331,RL00089,,classified,2023-06-15,intake,
EV000332,RL00089,P003,matched,2023-06-18,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000333,RL00089,P003,booked,2023-06-21,negotiation,partner accepted; capacity held
EV000334,RL00089,P003,resolved,2023-07-15,monitor,closed successfully
EV000335,RL00090,,classified,2023-06-18,intake,
EV000336,RL00090,P003,matched,2023-06-19,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000337,RL00091,,classified,2023-07-15,intake,
EV000338,RL00091,P001,matched,2023-07-17,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000339,RL00092,,classified,2023-07-24,intake,
EV000340,RL00092,P002,matched,2023-07-26,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000341,RL00092,P002,lost,2023-08-06,monitor,no fit / declined
EV000342,RL00093,,classified,2023-07-20,intake,
EV000343,RL00093,P002,matched,2023-07-23,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000344,RL00093,P002,lost,2023-08-03,monitor,no fit / declined
EV000345,RL00094,,classified,2023-07-10,intake,
EV000346,RL00095,,classified,2023-07-17,intake,
EV000347,RL00095,P003,matched,2023-07-18,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000348,RL00095,P003,outreach_sent,2023-07-19,negotiation,round 1
EV000349,RL00095,P003,reply_received,2023-07-20,negotiation,propose_alternative
EV000350,RL00095,P003,outreach_sent,2023-07-21,negotiation,round 2
EV000351,RL00095,P003,reply_received,2023-07-22,negotiation,propose_alternative
EV000352,RL00095,P003,outreach_sent,2023-07-23,negotiation,round 3
EV000353,RL00095,P003,reply_received,2023-07-24,negotiation,propose_alternative
EV000354,RL00096,,classified,2023-07-21,intake,
EV000355,RL00096,P002,matched,2023-07-22,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000356,RL00096,P002,booked,2023-07-26,negotiation,partner accepted; capacity held
EV000357,RL00096,P002,resolved,2023-08-11,monitor,closed successfully
EV000358,RL00097,,classified,2023-07-20,intake,
EV000359,RL00098,,classified,2023-07-16,intake,
EV000360,RL00098,P002,matched,2023-07-17,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000361,RL00098,P002,booked,2023-07-27,negotiation,partner accepted; capacity held
EV000362,RL00098,P002,resolved,2023-08-16,monitor,closed successfully
EV000363,RL00099,,classified,2023-07-23,intake,
EV000364,RL00099,P001,matched,2023-07-26,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000365,RL00099,P001,outreach_sent,2023-07-27,negotiation,round 1
EV000366,RL00099,P001,reply_received,2023-07-28,negotiation,propose_alternative
EV000367,RL00099,P001,outreach_sent,2023-07-29,negotiation,round 2
EV000368,RL00099,P001,reply_received,2023-07-30,negotiation,propose_alternative
EV000369,RL00099,P001,outreach_sent,2023-07-31,negotiation,round 3
EV000370,RL00099,P001,reply_received,2023-08-01,negotiation,propose_alternative
EV000371,RL00100,,classified,2023-07-15,intake,
EV000372,RL00100,P001,matched,2023-07-16,matching,"top-3 by capacity+ROI, ranked P001 #1"
EV000373,RL00100,P001,lost,2023-07-24,monitor,no fit / declined
EV000374,RL00101,,classified,2023-07-25,intake,
EV000375,RL00101,P003,matched,2023-07-28,matching,"top-3 by capacity+ROI, ranked P003 #1"
EV000376,RL00101,P003,lost,2023-08-04,monitor,no fit / declined
EV000377,RL00102,,classified,2023-07-04,intake,
EV000378,RL00102,P002,matched,2023-07-06,matching,"top-3 by capacity+ROI, ranked P002 #1"
EV000379,RL00102,P002,lost,2023-07-14,monitor,no fit / declined
EV000380,RL00103,,classified,2023-07-23,intake,
EV000381,RL00104,,classified,2023-07-16,intake,
