customer_id,customer_name,country,segment,signup_date,plan_type,monthly_revenue,partner_id
C00071,Andersen Consulting ApS,DK,SMB,2022-04-08,basic,723,P001
C00072,Holm Revision ApS,DK,MID,2022-04-10,basic,701,P001
C00073,Nielsen Regnskab ApS,DK,SMB,2022-04-16,basic,476,P002
C00074,Larsen Regnskab ApS,DK,SMB,2022-04-13,basic,477,P003
C00075,Holm Bogføring ApS,DK,SMB,2022-04-08,premium,2241,
C00076,Jensen Revision ApS,DK,SMB,2022-04-25,basic,676,P003
C00077,Christensen Revision ApS,DK,MID,2022-04-19,premium,2515,P001
C00078,Jensen Økonomi ApS,DK,SMB,2022-04-22,basic,732,P001
C00079,Pedersen Regnskab ApS,DK,SMB,2022-04-23,basic,568,P002
C00080,Christensen Økonomi ApS,DK,SMB,2022-04-22,basic,770,
C00081,Nielsen Regnskab ApS,DK,SMB,2022-04-04,basic,586,
C00082,Larsen Økonomi ApS,DK,MID,2022-04-06,premium,2688,
C00083,Mortensen Consulting ApS,DK,SMB,2022-04-04,basic,656,
C00084,Holm Revision ApS,DK,SMB,2022-04-16,basic,671,
C00085,Holm Regnskab ApS,DK,SMB,2022-04-01,premium,2712,
C00086,Pedersen Revision ApS,DK,SMB,2022-04-27,basic,539,P003
C00087,Pedersen Revision ApS,DK,ENT,2022-04-06,enterprise,7828,
C00088,Pedersen Revision ApS,DK,SMB,2022-04-14,basic,532,P003
C00089,Pedersen Økonomi ApS,DK,SMB,2022-05-21,basic,586,P002
C00090,Larsen Consulting ApS,DK,SMB,2022-05-04,basic,572,
C00091,Hansen Økonomi ApS,DK,SMB,2022-05-01,basic,508,P001
C00092,Pedersen Bogføring ApS,DK,SMB,2022-05-23,basic,662,
C00093,Nielsen Revision ApS,DK,SMB,2022-05-15,basic,756,P001
C00094,Larsen Revision ApS,DK,MID,2022-05-25,premium,2613,P001
C00095,Pedersen Consulting ApS,DK,SMB,2022-05-27,premium,2002,
C00096,Christensen Bogføring ApS,DK,SMB,2022-05-16,basic,728,P002
C00097,Pedersen Økonomi ApS,DK,SMB,2022-05-19,premium,1841,P003
C00098,Hansen Consulting ApS,DK,ENT,2022-05-13,enterprise,5046,P001
C00099,Andersen Bogføring ApS,DK,SMB,2022-05-28,premium,1204,P002
C00100,Sørensen Consulting ApS,DK,MID,2022-05-14,enterprise,4412,P002
C00101,Mortensen Økonomi ApS,DK,SMB,2022-05-23,basic,618,
C00102,Andersen Consulting ApS,DK,MID,2022-05-11,enterprise,7797,
C00103,Nielsen Økonomi ApS,DK,SMB,2022-05-03,basic,597,
C00104,Larsen Regnskab ApS,DK,MID,2022-05-04,premium,1205,P003
C00105,Christensen Consulting ApS,DK,SMB,2022-05-02,basic,633,P001
C00106,Jensen Consulting ApS,DK,SMB,2022-05-14,premium,1348,P003
C00107,Pedersen Revision ApS,DK,ENT,2022-05-16,premium,1944,
C00108,Hansen Regnskab ApS,DK,SMB,2022-05-22,premium,1589,
C00109,Christensen Økonomi ApS,DK,SMB,2022-05-19,premium,2413,P002
C00110,Larsen Regnskab ApS,DK,SMB,2022-05-28,basic,742,P002
C00111,Nielsen Revision ApS,DK,MID,2022-06-10,basic,636,
C00112,Sørensen Consulting ApS,DK,MID,2022-06-11,basic,517,
C00113,Pedersen Revision ApS,DK,ENT,2022-06-17,enterprise,5905,
C00114,Christensen Økonomi ApS,DK,SMB,2022-06-26,premium,1288,
C00115,Mortensen Regnskab ApS,DK,MID,2022-06-28,premium,2619,P002
C00116,Sørensen Regnskab ApS,DK,SMB,2022-06-15,premium,1536,
C00117,Christensen Regnskab ApS,DK,SMB,2022-06-22,basic,737,P003
C00118,Nielsen Bogføring ApS,DK,MID,2022-06-21,enterprise,6275,
C00119,Mortensen Bogføring ApS,DK,ENT,2022-06-02,enterprise,7835,P001
C00120,Hansen Økonomi ApS,DK,SMB,2022-06-13,basic,726,P003
C00121,Larsen Regnskab ApS,DK,SMB,2022-06-21,basic,658,
C00122,Nielsen Revision ApS,DK,SMB,2022-06-23,basic,570,
C00123,Nielsen Økonomi ApS,DK,ENT,2022-06-18,enterprise,4296,P001
C00124,Christensen Bogføring ApS,DK,MID,2022-06-07,premium,1043,P002
C00125,Christensen Revision ApS,DK,SMB,2022-06-26,basic,733,P001
C00126,Hansen Consulting ApS,DK,SMB,2022-06-25,premium,1005,P001
C00127,Christensen Consulting ApS,DK,MID,2022-06-09,basic,463,P002
C00128,Mortensen Regnskab ApS,DK,SMB,2022-06-11,basic,514,
C00129,Christensen Consulting ApS,DK,SMB,2022-06-16,basic,753,P003
C00130,Andersen Økonomi ApS,DK,ENT,2022-06-26,enterprise,6270,P001
C00131,Pedersen Regnskab ApS,DK,SMB,2022-06-28,basic,701,
C00132,Holm Consulting ApS,DK,SMB,2022-06-03,basic,514,P003
C00133,Sørensen Bogføring ApS,DK,MID,2022-07-14,premium,1640,
C00134,Sørensen Bogføring ApS,DK,SMB,2022-07-03,basic,671,P003
C00135,Jensen Revision ApS,DK,SMB,2022-07-18,premium,2150,P001
C00136,Andersen Revision ApS,DK,MID,2022-07-28,premium,2777,
C00137,Christensen Regnskab ApS,DK,SMB,2022-07-12,basic,529,
C00138,Jensen Consulting ApS,DK,MID,2022-07-12,premium,2561,P001
C00139,Holm Revision ApS,DK,MID,2022-07-25,premium,2316,
C00140,Sørensen Regnskab ApS,DK,SMB,2022-07-01,basic,608,
C00141,Andersen Regnskab ApS,DK,MID,2022-07-06,premium,1820,P003
C00142,Larsen Revision ApS,DK,SMB,2022-07-24,basic,682,P002
C00143,Andersen Regnskab ApS,DK,ENT,2022-07-25,enterprise,4230,P003
C00144,Christensen Consulting ApS,DK,SMB,2022-07-09,basic,760,P002
C00145,Pedersen Consulting ApS,DK,SMB,2022-07-04,basic,797,
C00146,Larsen Bogføring ApS,DK,SMB,2022-07-22,basic,756,P001
C00147,Jensen Bogføring ApS,DK,SMB,2022-07-25,basic,617,P002
C00148,Sørensen Regnskab ApS,DK,MID,2022-07-18,premium,2706,
C00149,Sørensen Consulting ApS,DK,MID,2022-07-13,basic,459,P001
C00150,Andersen Revision ApS,DK,SMB,2022-07-14,basic,663,P002
C00151,Sørensen Regnskab ApS,DK,MID,2022-07-06,premium,2703,
C00152,Jensen Revision ApS,DK,MID,2022-07-14,premium,2206,P001
C00153,Nielsen Consulting ApS,DK,SMB,2022-07-24,basic,536,P003
C00154,Hansen Bogføring ApS,DK,SMB,2022-07-17,premium,1719,
C00155,Pedersen Regnskab ApS,DK,SMB,2022-08-26,basic,709,P002
C00156,Nielsen Consulting ApS,DK,SMB,2022-08-02,basic,780,
C00157,Andersen Økonomi ApS,DK,SMB,2022-08-20,basic,733,
C00158,Andersen Økonomi ApS,DK,SMB,2022-08-26,basic,759,P001
C00159,Hansen Regnskab ApS,DK,MID,2022-08-04,premium,2462,P003
C00160,Jensen Økonomi ApS,DK,ENT,2022-08-15,enterprise,5100,P002
C00161,Nielsen Revision ApS,DK,SMB,2022-08-25,basic,773,
C00162,Holm Bogføring ApS,DK,SMB,2022-08-04,basic,579,
C00163,Jensen Bogføring ApS,DK,SMB,2022-08-11,basic,629,P003
C00164,Hansen Consulting ApS,DK,MID,2022-08-20,basic,736,P002
C00165,Hansen Bogføring ApS,DK,MID,2022-08-03,premium,1741,P002
C00166,Hansen Regnskab ApS,DK,ENT,2022-08-11,enterprise,5655,
C00167,Mortensen Regnskab ApS,DK,MID,2022-08-10,basic,726,
C00168,Hansen Bogføring ApS,DK,SMB,2022-08-22,premium,1268,
C00169,Pedersen Regnskab ApS,DK,MID,2022-08-06,premium,2656,
C00170,Pedersen Bogføring ApS,DK,SMB,2022-08-14,basic,677,
C00171,Sørensen Consulting ApS,DK,SMB,2022-08-18,premium,2606,P001
C00172,Hansen Bogføring ApS,DK,SMB,2022-08-15,basic,645,P002
C00173,Sørensen Consulting ApS,DK,MID,2022-08-26,enterprise,4227,
C00174,Larsen Økonomi ApS,DK,MID,2022-08-04,premium,1255,P001
C00175,Sørensen Regnskab ApS,DK,SMB,2022-08-17,basic,563,
C00176,Sørensen Bogføring ApS,DK,SMB,2022-08-14,basic,570,P001
C00177,Holm Økonomi ApS,DK,MID,2022-09-04,premium,1249,P002
C00178,Mortensen Consulting ApS,DK,SMB,2022-09-03,premium,2222,P003
C00179,Christensen Consulting ApS,DK,MID,2022-09-08,premium,1003,
C00180,Nielsen Consulting ApS,DK,SMB,2022-09-14,basic,718,
C00181,Andersen Økonomi ApS,DK,SMB,2022-09-18,premium,2134,P002
C00182,Nielsen Consulting ApS,DK,SMB,2022-09-12,basic,484,P003
C00183,Hansen Økonomi ApS,DK,MID,2022-09-24,basic,630,P003
C00184,Andersen Revision ApS,DK,SMB,2022-09-23,basic,519,P002
C00185,Pedersen Revision ApS,DK,SMB,2022-09-26,basic,608,P003
C00186,Andersen Revision ApS,DK,MID,2022-09-02,premium,1731,
C00187,Jensen Revision ApS,DK,SMB,2022-09-09,basic,654,
C00188,Jensen Regnskab ApS,DK,SMB,2022-09-06,basic,715,P001
C00189,Nielsen Revision ApS,DK,MID,2022-09-14,premium,2117,P001
C00190,Sørensen Økonomi ApS,DK,SMB,2022-09-22,basic,668,P002
C00191,Nielsen Økonomi ApS,DK,MID,2022-09-02,enterprise,7363,P001
C00192,Hansen Consulting ApS,DK,SMB,2022-09-12,premium,1327,
C00193,Sørensen Revision ApS,DK,MID,2022-09-22,basic,484,P003
C00194,Sørensen Revision ApS,DK,ENT,2022-09-13,premium,1314,
C00195,Larsen Bogføring ApS,DK,MID,2022-09-15,premium,2084,P002
C00196,Nielsen Revision ApS,DK,SMB,2022-09-04,basic,715,P003
C00197,Christensen Regnskab ApS,DK,SMB,2022-09-25,basic,763,P002
C00198,Sørensen Revision ApS,DK,MID,2022-09-05,premium,2460,P001
C00199,Pedersen Consulting ApS,DK,MID,2022-10-20,basic,653,
C00200,Nielsen Økonomi ApS,DK,MID,2022-10-14,premium,1151,P002
C00201,Mortensen Consulting ApS,DK,MID,2022-10-15,premium,2798,
C00202,Andersen Regnskab ApS,DK,MID,2022-10-06,basic,707,
C00203,Christensen Revision ApS,DK,SMB,2022-10-17,basic,615,
C00204,Larsen Bogføring ApS,DK,MID,2022-10-17,premium,1513,P003
C00205,Holm Consulting ApS,DK,SMB,2022-10-21,basic,707,
C00206,Andersen Regnskab ApS,DK,SMB,2022-10-05,basic,759,P003
C00207,Jensen Consulting ApS,DK,MID,2022-10-21,premium,1431,
C00208,Pedersen Bogføring ApS,DK,SMB,2022-10-21,premium,2117,P002
C00209,Hansen Økonomi ApS,DK,MID,2022-10-26,premium,1928,P001
C00210,Sørensen Revision ApS,DK,SMB,2022-10-15,basic,610,
C00211,Pedersen Regnskab ApS,DK,SMB,2022-10-13,basic,737,P001
C00212,Jensen Bogføring ApS,DK,SMB,2022-10-08,basic,646,
C00213,Pedersen Consulting ApS,DK,ENT,2022-10-28,enterprise,6361,P001
C00214,Mortensen Økonomi ApS,DK,SMB,2022-10-15,basic,461,P002
C00215,Pedersen Revision ApS,DK,SMB,2022-10-08,basic,475,P003
C00216,Sørensen Økonomi ApS,DK,SMB,2022-10-18,basic,518,
C00217,Larsen Regnskab ApS,DK,SMB,2022-10-12,basic,737,P003
C00218,Holm Consulting ApS,DK,SMB,2022-10-13,premium,1572,
C00219,Sørensen Consulting ApS,DK,SMB,2022-10-04,basic,641,
C00220,Andersen Regnskab ApS,DK,MID,2022-10-12,premium,2042,P001
C00221,Holm Revision ApS,DK,MID,2022-11-16,premium,2379,P002
C00222,Holm Consulting ApS,DK,MID,2022-11-28,basic,692,P003
C00223,Jensen Bogføring ApS,DK,SMB,2022-11-02,basic,772,
C00224,Sørensen Økonomi ApS,DK,MID,2022-11-27,basic,506,P002
C00225,Pedersen Regnskab ApS,DK,SMB,2022-11-05,basic,706,
C00226,Pedersen Consulting ApS,DK,SMB,2022-11-23,basic,616,
C00227,Larsen Consulting ApS,DK,SMB,2022-11-13,basic,722,P002
C00228,Larsen Bogføring ApS,DK,SMB,2022-11-16,basic,735,P002
C00229,Larsen Revision ApS,DK,MID,2022-11-23,premium,1714,
C00230,Hansen Revision ApS,DK,SMB,2022-11-04,basic,652,
C00231,Larsen Økonomi ApS,DK,SMB,2022-11-02,basic,627,
C00232,Hansen Regnskab ApS,DK,SMB,2022-11-07,basic,737,
C00233,Mortensen Bogføring ApS,DK,MID,2022-11-20,premium,1103,
C00234,Nielsen Bogføring ApS,DK,SMB,2022-11-21,basic,619,
C00235,Pedersen Bogføring ApS,DK,ENT,2022-11-01,enterprise,5093,P002
C00236,Nielsen Consulting ApS,DK,ENT,2022-11-25,enterprise,4284,
C00237,Hansen Økonomi ApS,DK,SMB,2022-11-08,premium,1076,
C00238,Hansen Revision ApS,DK,SMB,2022-11-27,premium,2712,P002
C00239,Sørensen Revision ApS,DK,SMB,2022-11-02,basic,504,
C00240,Hansen Consulting ApS,DK,ENT,2022-11-15,enterprise,7846,
C00241,Larsen Bogføring ApS,DK,SMB,2022-11-15,premium,1677,P002
C00242,Christensen Bogføring ApS,DK,MID,2022-11-01,premium,2162,
C00243,Christensen Regnskab ApS,DK,SMB,2022-12-10,basic,583,
C00244,Larsen Regnskab ApS,DK,SMB,2022-12-22,basic,657,
C00245,Pedersen Bogføring ApS,DK,ENT,2022-12-21,enterprise,5609,P001
C00246,Pedersen Consulting ApS,DK,MID,2022-12-15,premium,1851,
C00247,Holm Regnskab ApS,DK,MID,2022-12-26,premium,1506,
C00248,Nielsen Regnskab ApS,DK,SMB,2022-12-17,basic,489,
C00249,Sørensen Consulting ApS,DK,SMB,2022-12-27,basic,743,P001
C00250,Pedersen Regnskab ApS,DK,SMB,2022-12-15,basic,748,P003
C00251,Andersen Økonomi ApS,DK,SMB,2022-12-17,basic,736,P002
C00252,Sørensen Regnskab ApS,DK,MID,2022-12-09,premium,2184,P002
C00253,Pedersen Regnskab ApS,DK,ENT,2022-12-18,enterprise,4365,
C00254,Jensen Revision ApS,DK,SMB,2022-12-10,premium,2568,
C00255,Mortensen Bogføring ApS,DK,SMB,2022-12-13,premium,1773,P003
C00256,Christensen Regnskab ApS,DK,MID,2022-12-21,basic,725,P001
C00257,Christensen Økonomi ApS,DK,SMB,2022-12-10,basic,667,P001
C00258,Jensen Consulting ApS,DK,SMB,2022-12-12,basic,507,P003
C00259,Holm Regnskab ApS,DK,ENT,2022-12-25,enterprise,5771,P001
C00260,Mortensen Bogføring ApS,DK,MID,2022-12-22,basic,472,P001
C00261,Christensen Consulting ApS,DK,MID,2022-12-25,basic,707,
C00262,Hansen Consulting ApS,DK,SMB,2022-12-11,premium,2676,P002
C00263,Hansen Økonomi ApS,DK,SMB,2022-12-08,basic,735,
C00264,Mortensen Revision ApS,DK,SMB,2022-12-18,premium,2317,
C00265,Nielsen Consulting ApS,DK,SMB,2023-01-09,basic,680,
C00266,Holm Regnskab ApS,DK,MID,2023-01-24,basic,643,
C00267,Mortensen Bogføring ApS,DK,SMB,2023-01-28,premium,2203,
C00268,Andersen Bogføring ApS,DK,SMB,2023-01-16,premium,1620,
C00269,Christensen Økonomi ApS,DK,MID,2023-01-04,premium,1496,
C00270,Sørensen Revision ApS,DK,SMB,2023-01-08,premium,1779,P003
C00271,Pedersen Revision ApS,DK,SMB,2023-01-09,premium,1954,P003
C00272,Hansen Regnskab ApS,DK,SMB,2023-01-07,basic,738,
C00273,Sørensen Bogføring ApS,DK,SMB,2023-01-09,basic,663,P001
C00274,Pedersen Økonomi ApS,DK,SMB,2023-01-27,basic,800,P002
C00275,Pedersen Bogføring ApS,DK,MID,2023-01-06,premium,1286,
C00276,Andersen Regnskab ApS,DK,SMB,2023-01-02,premium,1152,
C00277,Andersen Bogføring ApS,DK,SMB,2023-01-14,basic,484,
C00278,Holm Økonomi ApS,DK,SMB,2023-01-17,basic,776,
C00279,Mortensen Revision ApS,DK,SMB,2023-01-22,basic,732,P001
C00280,Jensen Bogføring ApS,DK,ENT,2023-01-18,premium,2665,
C00281,Larsen Revision ApS,DK,ENT,2023-01-04,enterprise,5774,P003
C00282,Christensen Revision ApS,DK,MID,2023-01-09,basic,657,P001
C00283,Nielsen Økonomi ApS,DK,MID,2023-01-22,basic,782,
C00284,Nielsen Økonomi ApS,DK,SMB,2023-01-13,basic,776,P001
C00285,Nielsen Consulting ApS,DK,SMB,2023-01-28,premium,2158,
C00286,Pedersen Revision ApS,DK,SMB,2023-01-02,premium,2417,
C00287,Andersen Regnskab ApS,DK,MID,2023-02-13,basic,490,P002
C00288,Holm Økonomi ApS,DK,SMB,2023-02-14,basic,759,
C00289,Mortensen Økonomi ApS,DK,SMB,2023-02-25,basic,680,P002
C00290,Larsen Bogføring ApS,DK,SMB,2023-02-14,basic,644,P003
C00291,Hansen Økonomi ApS,DK,SMB,2023-02-23,basic,644,
C00292,Nielsen Bogføring ApS,DK,SMB,2023-02-11,basic,607,P002
C00293,Andersen Regnskab ApS,DK,SMB,2023-02-03,basic,734,P001
C00294,Andersen Revision ApS,DK,SMB,2023-02-12,basic,616,
C00295,Christensen Consulting ApS,DK,SMB,2023-02-14,basic,736,
C00296,Pedersen Bogføring ApS,DK,SMB,2023-02-17,basic,521,P002
C00297,Sørensen Revision ApS,DK,SMB,2023-02-03,basic,603,P001
C00298,Hansen Revision ApS,DK,MID,2023-02-08,premium,2262,P001
C00299,Sørensen Økonomi ApS,DK,ENT,2023-02-01,enterprise,6912,
C00300,Hansen Revision ApS,DK,SMB,2023-02-11,premium,2333,
C00301,Sørensen Revision ApS,DK,MID,2023-02-11,premium,1981,P002
C00302,Jensen Revision ApS,DK,SMB,2023-02-21,basic,574,P002
C00303,Andersen Økonomi ApS,DK,ENT,2023-02-04,premium,2117,P003
C00304,Jensen Økonomi ApS,DK,SMB,2023-02-23,premium,2702,
C00305,Jensen Regnskab ApS,DK,MID,2023-02-05,premium,2348,P002
C00306,Jensen Consulting ApS,DK,ENT,2023-02-15,enterprise,7083,P003
C00307,Nielsen Regnskab ApS,DK,MID,2023-02-02,premium,2663,P003
C00308,Andersen Consulting ApS,DK,SMB,2023-02-25,basic,535,
C00309,Hansen Revision ApS,DK,SMB,2023-03-16,basic,493,P003
C00310,Nielsen Økonomi ApS,DK,SMB,2023-03-10,premium,2067,P002
C00311,Nielsen Regnskab ApS,DK,MID,2023-03-24,premium,1614,P003
C00312,Christensen Consulting ApS,DK,SMB,2023-03-28,basic,534,
C00313,Christensen Økonomi ApS,DK,SMB,2023-03-06,basic,668,
C00314,Holm Bogføring ApS,DK,SMB,2023-03-21,basic,671,P003
C00315,Nielsen Consulting ApS,DK,SMB,2023-03-15,basic,559,P003
C00316,Mortensen Revision ApS,DK,SMB,2023-03-06,basic,508,P002
C00317,Holm Bogføring ApS,DK,SMB,2023-03-20,basic,508,P002
C00318,Hansen Revision ApS,DK,MID,2023-03-27,premium,2258,
C00319,Mortensen Økonomi ApS,DK,SMB,2023-03-04,basic,641,
C00320,Mortensen Bogføring ApS,DK,SMB,2023-03-14,basic,666,P003
C00321,Holm Regnskab ApS,DK,SMB,2023-03-18,basic,545,P002
C00322,Mortensen Consulting ApS,DK,SMB,2023-03-28,basic,519,P002
C00323,Pedersen Økonomi ApS,DK,SMB,2023-03-21,basic,662,
C00324,Mortensen Revision ApS,DK,SMB,2023-03-19,premium,1598,P001
C00325,Nielsen Revision ApS,DK,MID,2023-03-19,premium,2125,P003
C00326,Pedersen Consulting ApS,DK,ENT,2023-03-27,enterprise,4140,
C00327,Christensen Revision ApS,DK,ENT,2023-03-07,premium,2699,
C00328,Nielsen Økonomi ApS,DK,ENT,2023-03-28,enterprise,6655,
C00329,Holm Revision ApS,DK,ENT,2023-03-28,enterprise,5741,P003
C00330,Christensen Bogføring ApS,DK,MID,2023-03-28,premium,1339,
C00331,Jensen Økonomi ApS,DK,MID,2023-04-23,premium,2456,P001
C00332,Nielsen Økonomi ApS,DK,SMB,2023-04-05,basic,662,P001
C00333,Sørensen Consulting ApS,DK,MID,2023-04-17,premium,2796,P002
C00334,Pedersen Revision ApS,DK,MID,2023-04-01,premium,1190,
C00335,Christensen Økonomi ApS,DK,SMB,2023-04-28,basic,561,
C00336,Pedersen Revision ApS,DK,SMB,2023-04-27,basic,516,
C00337,Pedersen Økonomi ApS,DK,SMB,2023-04-02,premium,1941,P001
C00338,Larsen Bogføring ApS,DK,ENT,2023-04-01,enterprise,4880,
C00339,Hansen Regnskab ApS,DK,SMB,2023-04-21,basic,790,
C00340,Nielsen Regnskab ApS,DK,MID,2023-04-10,premium,1879,
C00341,Andersen Regnskab ApS,DK,SMB,2023-04-07,basic,565,P002
C00342,Pedersen Regnskab ApS,DK,SMB,2023-04-23,basic,666,
C00343,Larsen Bogføring ApS,DK,SMB,2023-04-08,premium,1209,P002
C00344,Hansen Regnskab ApS,DK,MID,2023-04-13,premium,1272,
C00345,Christensen Bogføring ApS,DK,SMB,2023-04-17,basic,534,P003
C00346,Hansen Regnskab ApS,DK,MID,2023-04-14,premium,1444,P001
C00347,Christensen Revision ApS,DK,MID,2023-04-19,premium,1879,P001
C00348,Larsen Regnskab ApS,DK,SMB,2023-04-21,basic,757,
C00349,Christensen Økonomi ApS,DK,MID,2023-04-28,enterprise,5483,P003
C00350,Pedersen Økonomi ApS,DK,MID,2023-04-10,premium,2625,
C00351,Sørensen Revision ApS,DK,SMB,2023-04-04,basic,486,P001
C00352,Hansen Økonomi ApS,DK,SMB,2023-04-05,premium,1861,P003
C00353,Hansen Consulting ApS,DK,SMB,2023-05-09,basic,554,
C00354,Larsen Økonomi ApS,DK,MID,2023-05-19,premium,2394,
C00355,Nielsen Økonomi ApS,DK,ENT,2023-05-24,premium,1500,P002
C00356,Hansen Regnskab ApS,DK,MID,2023-05-20,premium,2518,
C00357,Mortensen Consulting ApS,DK,MID,2023-05-01,premium,1335,P002
C00358,Nielsen Regnskab ApS,DK,MID,2023-05-26,premium,1761,P002
C00359,Nielsen Økonomi ApS,DK,MID,2023-05-11,premium,1130,P003
C00360,Nielsen Consulting ApS,DK,SMB,2023-05-12,premium,1341,P002
C00361,Christensen Regnskab ApS,DK,MID,2023-05-22,premium,2042,P001
C00362,Andersen Consulting ApS,DK,SMB,2023-05-16,premium,1366,
C00363,Jensen Revision ApS,DK,ENT,2023-05-26,enterprise,7235,P001
C00364,Hansen Bogføring ApS,DK,MID,2023-05-09,premium,1244,P001
